Block,Item,MPN,EU Link,Alt MPN,Unit €,Stock/Lead,Risk (L/M/H),Qty,Notes
Coltroller,Raspberry Pi 4 Model B (4GB),SC0194(9),https://www.digikey.com/en/products/detail/raspberry-pi/SC0194-9/10258781,https://mou.sr/3K8mUT,50.46,"In-Stock: 15,779/ 5 Weeks",M,1,Main controller board. Requires 5V/3A PSU (CE/UL). Add heatsink + 25 mm fan (<25 dBA @ 10cm).
Power,Power Adapter 5V 3A (USB-C),SC0216,https://www.digikey.com/en/products/detail/raspberry-pi/SC0216/10258766,https://uk.farnell.com/raspberry-pi/sc0216/rpi-power-supply-usb-c-5-1v-3a/dp/3106944,6.85,In-Stock: 197 / 4 Weeks,L,1,High-quality to avoid under-voltage
Audio,MEMS I2S Microphone INMP441,Digikey-6049,https://www.digikey.com/en/products/detail/adafruit-industries-llc/6049/25589349,https://mou.sr/3RA4Og9,4.24,In-Stock: 46/ 4 Weeks,H,1,For audio input
Audio,MAX98357A I2S Amplifier Module,MAX98357AETE+T,https://www.digikey.co.uk/en/products/detail/sparkfun-electronics/14809/9644297,https://eu.mouser.com/ProductDetail/Analog-Devices-Maxim-Integrated/MAX98357AETE%2bT?qs=AAveGqk956HhNpoJjF5x2g%3D%3D,2.73,"In-Stock: 18,346 / 16 Weeks",L,1,For Driving speaker
Audio,"Speaker (8ohm, 3.2W, 500Hz, 84db)",CDS-5017-0258E,https://www.digikey.co.uk/en/products/detail/same-sky-formerly-cui-devices/CDS-5017-0258E/25578387,https://www.digikey.co.uk/en/products/detail/same-sky-formerly-cui-devices/CDS-5017-0258E/25578387,4.24,In-Stock: 471 / 19 Weeks,L,1,Matches MAX98357A output
Cooling,5V Cooling Fan (Raspberry Pi size),114070161,https://www.digikey.com/en/products/detail/seeed-technology-co-ltd/114070161/14317040,https://mou.sr/49FDO6S,11.12,In-Stock: 89 / 	8 Weeks,L,1,Mounts on case or directly on board
Storage,MicroSD Card (16GB/32GB),USDCOEM-16GB,https://www.digikey.co.uk/en/products/detail/delkin-devices-inc/USDCOEM-32GB/13882329?s=N4IgTCBcDaIKoGUAiBhA8gUQLIFoDMYA4gEIgC6AvkA,https://uk.farnell.com/delkin-devices/usdcoem-32gb/memory-card-micro-sd-32gb/dp/3779974,8.53,"In-Stock: 9,311 / 8 Weeks",L,1,Class 10 or better for OS
I/O,RGB LED Breakout module,DigiKey-13282,https://www.digikey.com/en/products/detail/sparkfun-electronics/13282/6163655,https://mou.sr/45J63ji,4.24,In-Stock: 68 / 12 Weeks,M,1,For light Effects
I/O,Button Module,LP0115CMKW01F,https://www.digikey.co.uk/en/products/detail/nkk-switches/LP0115CMKW01F/2105098,https://mou.sr/41LtYxh,12.03,In-Stock: 33/ 13 Weeks,L,1,For initializing the listening on robot
Power,PIM269 ONOFF SHIM RASP PI POWER SWITCH (Optional),PIM269,https://www.digikey.com/en/products/detail/pimoroni-ltd/PIM269/7386673,https://mou.sr/45BFI8h,7.45,In-Stock: 7 / 5 Weeks,M,1,For Truning ON/OFF Raspberry PI Safely
Cooling,Fan Grill,Mouser No:562-08346,https://mou.sr/4mSJdgi,https://a.co/d/18G9HuL,"1,20",,,1,"prevents accidental finger contact, wires touching the blades."
Audio,Black Metal Mesh Speaker Grill for 5cm speaker,4634,https://mou.sr/475Y8iw,,7.87,4 Weeks,H,1,Purpose: protect speaker and improve look.
Audio,RFI EMI Noise Suppressor ,,https://www.amazon.de/TOJOIN-Ferrite-Suppressor-Equipment-9mm-10pcs/dp/B0BVF73Q1T/ref=sr_1_2,,5,,,1,suppress noise/RF emission.
Cooling/Exhaust,FAN AXIAL 30X8MM 5VDC,3368,https://www.digikey.co.uk/en/products/detail/adafruit-industries-llc/3368/6680553,https://mou.sr/4fQQ3Rc,3.01,"In-Stock: 1,018",,1,This will be used as exhaust fan mounted on the casing of the robot
Mechanical,M 1.6 x 12mm ,,https://www.amazon.com/QuarkMRO-Titanium-Phillips-Machine-Screws/dp/B0BP67R7G5/ref=sr_1_4,,0.11,,,8,Required for mounting passive heat sink (with fan) on the raspberry pi and further the mounting holes in casing
Mechanical,M 1.6 x 6 mm ,,https://www.amazon.com/QuarkMRO-Titanium-Phillips-Machine-Screws/dp/B0BP67R7G5/ref=sr_1_4,,0.91,,,7,"required for mounting RGB LED module, Amplifier, and the MEMS microphone on mounting holes inside the casing"
Mechanical,M1.6 Heat-Set Threaded Inserts,,https://www.amazon.com/ZWMSSLL-Heat-Set-M1-6x5x2-5mm-150Pieces-Components/dp/B0DFWVHD23/ref=sr_1_1,,,,,15,
Power,USBC 3.1 CABLE M-F 0.5M WHITE,FCR72001W,https://www.digikey.co.uk/en/products/detail/cliff-electronic-components-ltd/FCR72001W/16836486,,17.8,,,1,"USB 5Gbps (USB 3.0, USB 3.x Gen 1, Superspeed) Cable C Female to C Male 0.98' (300.0mm) Shielded"
